causa_acidente;total_acidentes;acidentes_fatais;perc_fatais
Suicídio (presumido);190;106;55.79
Pedestre andava na pista;606;250;41.25
Entrada inopinada do pedestre;667;203;30.43
Transitar na contramão;2475;736;29.74
Pedestre cruzava a pista fora da faixa;525;130;24.76
Pedestre - Ingestão de álcool/ substâncias psicoativas;150;27;18.0
Ultrapassagem Indevida;1770;302;17.06
Iluminação deficiente;157;23;14.65
Deficiência do Sistema de Iluminação/Sinalização;165;24;14.55
Mal súbito do condutor;546;73;13.37
Transitar no Acostamento;498;65;13.05
Velocidade Incompatível;4088;385;9.42
Curva acentuada;203;17;8.37
Problema com o freio;247;19;7.69
Demais falhas na via;275;19;6.91
Ausência de reação do condutor;11469;779;6.79
Condutor Dormindo;2116;135;6.38
Afundamento ou ondulação no pavimento;206;12;5.83
Acessar a via sem observar a presença dos outros veículos;7097;394;5.55
Animais na Pista;1305;72;5.52
Estacionar ou parar em local proibido;182;10;5.49
Acesso irregular;768;42;5.47
Acostamento em desnível;167;9;5.39
Condutor usando celular;189;10;5.29
Pista esburacada;232;12;5.17
Reação tardia ou ineficiente do condutor;10799;528;4.89
Ingestão de álcool pelo condutor;3685;180;4.88
Conversão proibida;1018;48;4.72
Retorno proibido;325;14;4.31
Pista Escorregadia;545;23;4.22
